OBJECTID,Tract_1,CIscore,HazScore,HealthScor,SVscore,CCVscore,Shape__Are,Shape__Len
2,6037920044,4,1,1,1,1,1470811.18359375,5545.2984520509
23,6037301205,6,1,2,2,1,1134011.4765625,4711.88173397012
24,6037300301,7,3,1,1,2,9058500.7578125,15439.9125249836
32,6037910813,6,1,1,1,3,121867232.449219,61638.2835663466
63,6037106645,5,1,1,1,2,3713201.0351562495,11139.4330776178
66,6037297601,6,1,1,2,2,1005675.484375,8803.96361597381
75,6037460401,5,1,1,2,1,7977609.65234375,32965.225329341
86,6037117102,7,1,1,3,2,1523596.4921875,5064.280296461169
97,6037401304,7,2,2,1,2,16939364.1679688,26314.3830997789
98,6037401303,6,1,3,1,1,8635757.65234375,15715.8042319164
99,6037400501,5,1,1,1,2,15945669.4765625,21940.092518589
100,6037400403,7,1,2,2,2,18889093.3398438,20272.029365153696
106,6037650401,7,3,2,1,1,5105129.8671875,11816.7565356291
109,6037621326,6,1,1,2,2,1273467.25,5139.51480202866
110,6037621324,5,1,1,1,2,1112831.0390625,5058.53949323861
121,6037621004,6,2,1,1,2,1275186.3203125,5803.70241055102
122,6037620904,7,2,2,1,2,863620.90625,4135.57580152907
128,6037800506,4,1,1,1,1,38184990.00781249,35208.9406095746
129,6037800504,5,2,1,1,1,31216909.171875,39745.6605104796
130,6037800410,4,1,1,1,1,54688016.11718751,45466.199760009
131,6037800408,4,1,1,1,1,22579045.5117188,31999.1963882384
132,6037800406,4,1,1,1,1,133435602.945313,70464.1021066356
133,6037800332,4,1,1,1,1,7030187.03515625,12579.7759590512
134,6037800330,4,1,1,1,1,41605284.25781249,44507.8190181114
135,6037800329,5,2,1,1,1,33055408.328125,31190.2921211817
136,6037573601,7,1,1,1,4,5390719.375,11843.419578479
142,6037102107,7,2,1,2,2,18951622.519531295,23457.0896018189
145,6037108202,7,1,1,3,2,8800902.73828125,13430.411896014
147,6037106646,6,3,1,1,1,2165408.33984375,8642.3904923657
177,6037430301,5,1,2,1,1,35672877.2695313,31391.832850202496
178,6037430003,4,1,1,1,1,17457456.3671875,27893.127939514
188,6037800327,6,2,1,1,2,8290242.61328125,13965.1882243852
189,6037702102,6,1,3,1,1,1281242.11328125,4846.42499498802
204,6037275602,6,1,3,1,1,3784444.8632812495,10380.5163300877
253,6037400404,6,2,2,1,1,23643553.421875,25907.1135989516
254,6037400207,4,1,1,1,1,7944683.585937501,19198.0509970983
261,6037980028,0,0,5,0,3,25293959.03125,30290.6189922098
262,6037980026,0,2,1,0,1,20399084.421875,37900.6318132166
277,6037113235,7,1,1,2,3,2108768.01171875,10640.4176287655
279,6037980025,0,0,4,0,4,4289682.11328125,11064.4055466191
281,6037980023,0,1,1,0,3,7650102.55078125,14667.9323679249
282,6037980022,0,1,1,0,4,9222918.2265625,14994.4305510837
283,6037980021,0,1,2,0,2,10198277.21875,18934.217463728695
284,6037980020,0,0,2,0,1,12511177.7226563,22293.3482444131
310,6037701304,5,1,2,1,1,2982412.36328125,7818.999787941679
316,6037670602,5,1,2,1,1,20680162.234375,34726.2214098058
317,6037670416,4,1,1,1,1,5668567.12890625,10802.7561998924
334,6037670328,4,1,1,1,1,5678378.6796875,12817.7079712423
335,6037670326,4,1,1,1,1,6277711.39453125,14421.0876168227
336,6037670324,5,1,2,1,1,7037934.5625,16947.7840890146
338,6037651401,5,1,2,1,1,1463764.94140625,5747.76557436868
339,6037651304,4,1,1,1,1,2177595.8671875,8274.21315973013
345,6037108201,6,1,1,2,2,4125612.0117187505,11190.1433997496
350,6037264102,6,1,3,1,1,573875.91796875,3764.7714402722695
351,6037920118,4,1,1,1,1,4366094.453125,11492.8235413601
352,6037920114,5,2,1,1,1,4164685.0351562495,13472.4223759086
354,6037800203,4,1,1,1,1,15206340.3359375,20784.4172292206
365,6037262704,7,2,3,1,1,2675918.70703125,8670.54426847019
386,6037310100,5,1,2,1,1,19345868.3671875,21229.213798294695
388,6037503602,7,2,2,1,2,4798982.06640625,9411.41502352756
450,6037920015,4,1,1,1,1,8652908.19921875,14256.7841908791
470,6037403324,6,1,3,1,1,13646749.1523438,17758.9763811115
472,6037403325,7,2,3,1,1,22892296.7617188,29970.227453256495
505,6037501501,7,1,4,1,1,9121130.28515625,17918.1181834435
508,6037500201,5,1,2,1,1,10522918.4453125,15861.0107604105
509,6037500202,6,1,3,1,1,9262721.828125,15198.9818412636
514,6037406412,7,1,1,1,4,1782260.79296875,5717.66163929186
517,6037406402,7,1,2,2,2,1428803.80859375,5860.23921174481
529,6037603600,7,1,2,2,2,1362310.42578125,4817.39381238711
542,6037113102,5,1,1,1,2,5388101.3984375,9214.526932220007
543,6037113101,6,2,1,1,2,3334594.11328125,7833.559389358579
544,6037111206,7,2,1,2,2,3848770.1796875,8883.67069681316
574,6037106643,4,1,1,1,1,6358711.1953125,12071.1620925089
579,6037460100,5,1,1,1,2,8313861.625,16402.9769031879
597,6037301300,7,1,2,1,3,1703575.14453125,7279.129873430941
660,6037650502,6,2,2,1,1,1942045.64453125,5740.43653579248
666,6037296402,7,3,1,1,2,1516911.0859375,6245.47612448423
667,6037296401,6,1,1,2,2,1428463.6875,5162.10244409518
672,6037101122,4,1,1,1,1,3891710.9414062495,11660.8504287859
687,6037269500,6,1,3,1,1,2034606.6875,6532.4025728719
688,6037269300,7,2,3,1,1,3225658.15625,7474.19766455903
700,6037430502,5,1,1,1,2,4319152.5,9210.41942053008
739,6037194200,6,1,3,1,1,3804787.8867187505,10726.9911690167
743,6037262301,5,1,1,2,1,19094202.800781295,27189.784070783695
745,6037920326,7,1,2,2,2,100383705.5625,57089.9772462242
746,6037108104,5,1,1,1,2,1213110.1875,5439.094562606049
747,6037460800,6,1,1,2,2,9870396.828125,15558.7414657613
766,6037189701,7,2,3,1,1,6361545.1953125,14285.1486079584
769,6037701202,6,2,2,1,1,595045.78125,3365.9301344939895
775,6037106112,6,1,1,2,2,4740837.40625,18363.752770109495
782,6037570002,6,1,2,1,2,1129437.4765625,4268.88999156739
783,6037650603,6,2,2,1,1,1854475.7578125,5924.38192277768
784,6037650702,5,1,2,1,1,2031561.05078125,6041.54418185725
785,6037650800,7,2,2,2,1,1876636.23046875,5775.63045658948
786,6037650701,6,1,2,2,1,2916660.99609375,6853.423144804529
790,6037651201,4,1,1,1,1,2539057.05078125,6354.08313698471
793,6037278102,6,2,2,1,1,2634987.87890625,10291.050889593
794,6037980009,0,1,2,0,1,31122954.0898438,29728.4758204498
796,6037980007,0,0,1,0,4,3918352.0,8834.144865276558
797,6037980006,0,0,2,0,3,4895517.5546875,14092.3378133463
798,6037980005,0,0,4,0,1,5892385.87109375,11617.3184129005
801,6037194102,6,1,3,1,1,5121609.87890625,13887.0519708788
812,6037188202,7,1,3,1,2,1108671.78515625,4325.83091679088
816,6037141500,6,2,2,1,1,4878625.609375,11636.7925206425
842,6037131900,6,1,2,1,2,1932178.79296875,5875.75934550972
851,6037134302,6,1,1,1,3,1922506.2890625,5631.922495461849
853,6037134422,6,1,2,1,2,3446871.65234375,9438.490188832388
874,6037703001,7,2,3,1,1,6921222.75,15726.0032752948
904,6037194300,7,3,2,1,1,3617596.8789062495,12768.8043752107
909,6037570902,6,1,1,2,2,1536213.375,5208.05990569182
912,6037571101,6,1,2,1,2,1921084.18359375,5837.65569338478
913,6037571300,6,2,1,1,2,3030139.0859375,6990.32581545423
915,6037571102,5,1,1,1,2,1828832.52734375,5739.400736236769
918,6037503802,7,1,2,2,2,1921002.16796875,5745.97310981834
919,6037503801,7,2,2,1,2,1889843.06640625,6763.21162884918
925,6037980004,0,1,3,0,5,66890799.53906249,34513.1215457847
926,6037980003,0,0,1,0,5,287070344.042969,101365.729871749
927,6037980002,0,0,2,0,5,10123433.9257813,13894.9227406251
928,6037980001,0,0,3,0,5,3393107.1015625,8386.82861426348
929,6037930301,5,1,1,2,1,1517412111.89844,230404.164041504
930,6037920338,4,1,1,1,1,5470776.41796875,12538.0562054561
931,6037920119,4,1,1,1,1,7460108.93359375,12612.6865914599
932,6037920116,4,1,1,1,1,10948731.890625,16269.3851128911
933,6037920045,4,1,1,1,1,2757173.21875,7360.748864924639
947,6037139802,5,1,1,1,2,8880851.359375,17181.5279773533
949,6037139801,5,1,1,1,2,5372142.32421875,10194.0990456198
950,6037135102,5,1,2,1,1,2460903.07421875,7029.41684868948
951,6037139702,4,1,1,1,1,13750095.7734375,23957.238674746295
958,6037138000,5,2,1,1,1,6550160.98046875,11492.3897463885
974,6037135201,5,1,1,1,2,2243743.8203125,6860.4154434615
977,6037408703,7,1,3,2,1,24878795.2265625,25822.5728038668
987,6037235100,7,1,3,2,1,1721643.2109375,6677.27981023246
993,6037700600,7,1,4,1,1,8313715.0,17293.6555696161
1014,6037403320,6,1,3,1,1,5711880.69921875,10720.7588405174
1024,6037571000,7,1,2,1,3,2541710.6171875,6527.99039235536
1035,6037504102,0,0,2,0,5,9416482.2421875,22514.4768210805
1039,6037300100,5,1,1,1,2,6750064.703125,11309.9320248458
1042,6037910210,7,1,1,2,3,4699745.6640625,9344.923427064541
1065,6037701302,5,1,2,1,1,664469.40234375,3654.9799418769894
1066,6037701601,7,2,2,2,1,1797047.3359375,6008.04889109275
1097,6037236000,7,2,3,1,1,5869113.15234375,11627.8525809863
1119,6037431700,7,1,1,2,3,4632786.11328125,8787.99694686031
1120,6037430802,7,1,1,2,3,2722234.671875,7232.248601377269
1123,6037430400,6,3,1,1,1,5271911.19921875,12948.5646848543
1124,6037430600,7,3,1,1,2,5439354.453125,13058.8104175572
1126,6037400204,5,1,2,1,1,10995053.046875,14178.9843079665
1139,6037570901,7,1,2,1,3,2640383.1796875,6770.52155034225
1140,6037570800,6,1,2,1,2,3490970.765625,7529.439700618861
1141,6037571200,7,1,1,2,3,3805840.5664062495,7860.781989489449
1149,6037297300,6,1,1,2,2,2086060.44140625,7405.7485491999
1152,6037702901,5,1,2,1,1,5480283.37109375,9552.10014572464
1155,6037701201,4,1,1,1,1,2826977.546875,6791.28210587503
1162,6037274202,7,1,1,1,4,1602246.2578125,6442.17666330655
1163,6037273902,6,1,2,1,2,1320605.92578125,5049.3979789964
1164,6037273502,7,2,2,1,2,805822.25,3804.46883442897
1177,6037139402,7,2,2,2,1,3576446.00390625,10513.7230407276
1182,6037139600,7,2,2,1,2,3630772.6875,7649.36783246732
1190,6037137501,6,1,2,1,2,3681516.8085937505,8913.51777055097
1200,6037106111,5,1,1,2,1,5613570.7265625,13031.2841905544
1203,6037111100,6,2,1,2,1,1554489.421875,5004.606722298
1215,6037301400,6,1,2,1,2,2331520.03125,7033.824242320569
1217,6037301501,7,1,2,2,2,873037.328125,5165.10421642748
1232,6037430501,5,1,1,1,2,6928619.92578125,12157.1378057679
1233,6037430200,6,1,1,1,3,7532012.609375,13385.7894266209
1242,6037403405,6,1,3,1,1,5108864.46875,12806.1102002056
1247,6037106603,5,1,1,2,1,22484752.4179688,22624.9600068558
1252,6037554513,7,1,1,2,3,823642.1523437501,3850.0079527047
1276,6037297400,5,1,1,1,2,3257373.1875,7917.501307854941
1277,6037297500,5,2,1,1,1,3222512.0390625,7480.645422639621
1278,6037300200,6,1,1,1,3,2768832.109375,7984.33452644528
1281,6037670413,4,1,1,1,1,3164868.3828125,7671.00662037235
1286,6037910209,7,1,1,2,3,4334321.78125,10738.7882303146
1288,6037910207,6,1,1,2,2,6560164.375,12323.6675969663
1294,6037134424,4,1,1,1,1,5438718.80078125,10055.4899939227
1295,6037134423,7,1,1,1,4,2295921.2265625,6788.95237239069
1303,6037132001,7,2,1,2,2,1416607.51953125,4863.9536819576
